step,reward,fall_rate,avg_velocity,torso_pitch_rms,energy_proxy
1.0,-4321.0312,0.9417,0.0,0.0105,0.0019
2.0,-10075.0117,0.9178,0.0,0.2145,0.0018
3.0,-13317.457,0.8996,0.0,0.3262,0.0019
4.0,-14823.9668,0.8908,0.0,0.0013,0.0018
5.0,-17175.2578,0.8781,0.0,0.0327,0.0018
6.0,-22543.9004,0.8475,0.0,0.0198,0.0019
7.0,-40245.4609,0.747,0.0,0.0083,0.002
