step,reward,fall_rate,avg_velocity,torso_pitch_rms,energy_proxy
1000000,61.558,0.0,0.074,0.129,1.036
5000000,60.151,0.0,0.074,0.136,1.045
10000000,62.213,0.0,0.08,0.121,1.045
15000000,52.998,0.0,0.074,0.195,1.045
20000000,57.454,0.0,0.08,0.158,1.045
