step,reward,fall_rate,avg_velocity,torso_pitch_rms,energy_proxy
1000000,69.056,0.0,0.078,0.073,1.068
5000000,69.157,0.0,0.078,0.072,1.07
10000000,68.821,0.0,0.078,0.074,1.071
15000000,72.077,0.0,0.078,0.051,1.07
20000000,69.401,0.0,0.08,0.07,1.069
